0:00:13.530	0:00:20.319	Eвропа корпорация	Европатәи Аиҿкаара	f
0:00:20.320	0:00:25.560	И 88 тысяч сотрудников группы  ПП-Р представляют	ПП-Р агәыԥ иатәу ԥшьынҩажәи ааба нызқьҩык аусзуҩцәа хаҭарнакра руеит	f
0:00:57.940	0:01:00.940	ДОМ	АҨНЫ	f
0:01:30.173	0:01:32.718	Выслушайте меня, пожалуйста.	Шәысзыӡырҩы, иҟалозар.	f
0:01:32.801	0:01:36.763	Вы, как и я, хомо сапиенс.	Шәаргьы, сара сеиҧш, шәхомосапиенсуп.	f
0:01:36.847	0:01:39.182	Человек разумный.	Ихәыцуа ауаҩы.	f
0:01:39.266	0:01:42.311	Жизнь, чудо вселенной,	Аԥсҭазаара, адунеи иаџьашьахәу,	f
0:01:42.394	0:01:45.605	появилась около 4 миллиардов лет назад,	Инықәырԥшны ԥшь-миллиард шықәса раҧхьа ицәырҵит,	f
0:01:45.689	0:01:49.609	а мы, люди, всего 200 000 лет назад.	ҳара ауаа ҳакәзар, ҩышә нызқьшықәса раԥхьа заҵәык.	f
0:01:49.693	0:01:52.529	Но мы уже преуспели в разрушении баланса...	Аха ҳара уи аилабгара аҟынӡа инаҳгахьан…	f
0:01:52.613	0:01:55.782	так необходимого для жизни на Земле.	адгьыл аҿы аԥсҭазааразы даара ихымҧадатәу.	f
0:01:55.866	0:01:59.786	Слушайте внимательно эту удивительную историю, Вашу историю,	Шәыхшыҩ азышьҭны шәазыӡырҩла ари иџьашьахәу аҭоурых, Шәара шәҭоурых,	f
0:01:59.870	0:02:03.040	и решайте, что Вы намерены делать.	Нас иагьышәыӡба  иҟашәҵап ҳәа Шәара шәгәы иҭоу.	f
0:02:30.317	0:02:33.278	Вот как всё началось.	Абас ауп зегьы шалагаз.	f
0:02:33.362	0:02:37.532	В начале наша планета была не более чем огненным хаосом,	Раԥхьа ҳара ҳпланета имцаԥшьу хыла-гәыла еилазааран,	f
0:02:37.616	0:02:40.994	сформировавшимся вслед за нашей звездой, Солнцем.	Ҳаеҵәа иашьҭагыланы ишьақәгылаз Амра акәны.	f
0:02:41.078	0:02:43.914	Облаком слипшейся космической пыли,	Еимаҷабыз космос саба   псҭҳәаны,	f
0:02:43.997	0:02:48.502	как и многие другие образования во вселенной.	егьырҭ адунеи аҿы иҟоу зхыҧхьаӡара рацәоу аҟаларақәа реиҧш.	f
0:02:48.585	0:02:51.838	Но затем свершилось таинство жизни.	Аха нас иҟалеит аԥсҭазаара амаӡа.	f
0:03:56.361	0:03:59.156	Сегодня жизнь - наша жизнь -	Иахьа аҧсҭазаара - ҳара ҳаҧсҭазаара -	f
0:03:59.239	0:04:02.701	всего лишь звено в цепочке бесчисленных жизней,	ҵҩа змам аԥсҭазаарақәа рдаҷ иахәҭаку ауп,	f
