0:00:12.779	0:00:18.304	«Su ıçınde su gıbı görünmez olmuş gördüğüm her şey.» Shakespeare	«Аӡы аҩныҵҟатәи аӡы еиԥш иузымбо иҟалеит сыбла иабоз зегьы»  Шекспир	f
0:00:19.930	0:00:21.382	Hoş geldiniz Sayın Savcı'm.	Бзиала шәаабеит,  ҳаҭыр зкәу сыпрокурор.	m
0:00:21.665	0:00:22.749	Kimliği belli olmuş.	Лхаҭара шақәдыргылама?	m
0:00:22.830	0:00:26.296	Evet. Ben de ailesi geldi sandım. O yüzden hazırlamıştım. Bekliyordum.	Аиеи. Саргьы лҭаацәа ааз џьысшьан, сҽазыҟаҵаны сырзыԥшын.	m
0:00:26.459	0:00:28.859	-Bildirdiler mi ismini? -Dosyayı buraya getirdiler.	-Лыхьӡ рҳәахьома? -Апапка арахь иааргеит.	m
0:00:40.895	0:00:42.203	İnci Erguvan.	Инџьи Ергуван.	m
0:01:35.515	0:01:36.515	Kardeşim.	Саҳәшьа.	f
0:03:56.758	0:03:57.758	Ceylin.	Џьеилин.	m
0:06:17.478	0:06:19.033	Müvekkilimle görüşeceğim.	Склиент дызбароуп.	f
0:06:22.205	0:06:23.485	Çınar Kaya'yla.	Чынар Каиа.	f
0:06:23.830	0:06:26.283	Boş oda yok. Sorgu odasına geçebilirsiniz.	Иҭацәу ауаҭах ыҟаӡам. Аҿахәы ахьырҿырхуа ауадахь шәиас.	m
0:06:31.510	0:06:32.790	Avukatın geldi.	Удукат дааит.	m
0:06:42.354	0:06:44.994	-Babam burada mı? -Bilmem. Görmedim amirimi.	-Саб ара дыҟоума? -Исыздырӡом. Сеиҳабы дсымбаӡацт.	m
0:07:02.627	0:07:03.627	Neredeler?	Иабаҟоу арҭ?	m
0:07:04.111	0:07:05.759	Şimdi sorgu odasına girdiler.	Аҿахәҿыхәарҭахь иҩналеит.	m
0:07:06.549	0:07:08.830	Sayın Savcı'm, Sayın Savcı'm...	Ҳаҭыр зқәу сыпрокурор, ҳаҭыр зқәу сыпрокурор...	m
0:07:09.569	0:07:12.830	...avukat müvekkil görüşmesi sırasında içeride olmanız...	...адукати аклиенти анеицәажәо, шәыҟазаара ахәҭам.	m
0:07:12.911	0:07:15.213	Ölen şahıs Ceylin'in kız kardeşiymiş.	Иршьыз, Џьеилин лаҳәшьа лакәзаап.	m
